,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
9055,3,12329,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 54.2",2021-02-26,10:55:03 PM,59,1,59,0,Urban,9914,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 54.2          ,54.2,36.06276501,-86.68261039,Level 2,Level 2,Level 2,55.7,0.06,Rain,nashville tennessee,2021-02-26,58.1,45.5,51.0,58.1,41.9,49.2,41.3,70.95,0.3,29.17,0.0,0.0,13.9,9.5,110.5,1018.4,96.0,9.1,2021-02-26T06:20:53,2021-02-26T17:39:29,0.5,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9056,3,12330,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 212.6",2021-02-26,11:04:37 PM,17,1,16,0,Urban,9915,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 212.6          ,212.6,36.143696,-86.73796,Level 2,Level 1,Level 1,55.6,0.08,Rain,nashville tennessee,2021-02-26,58.1,45.5,51.0,58.1,41.9,49.2,41.3,70.95,0.3,29.17,0.0,0.0,13.9,9.5,110.5,1018.4,96.0,9.1,2021-02-26T06:20:53,2021-02-26T17:39:29,0.5,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9059,3,12333,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 217.8",2021-02-27,12:24:08 AM,63,2,62,0,Urban,9918,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 217.8          ,217.8,36.14672042,-86.64380266,Level 3,Level 2,Level 2,54.6,0.18,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9060,3,12334,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 212.6",2021-02-27,12:53:49 AM,31,0,0,21,Urban,9919,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 212.6          ,212.6,36.143696,-86.73796,Level 1,Level 1,Level 1,54.6,0.18,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9061,3,12335,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 87.2",2021-02-27,2:10:35 AM,95.96666667,1,52.03333333,0,Urban,9920,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 87.2          ,87.2,36.205236,-86.776526,Level 2,Level 2,Level 2,56.8,0.05,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9062,3,12336,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 211.6",2021-02-27,3:17:32 AM,22,3,22,5,Urban,9921,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 211.6          ,211.6,36.15117,-87.750837,Level 3,Level 1,Level 1,56.7,0.09,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9063,3,12337,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 58.6",2021-02-27,4:47:51 AM,37,1,36,0,Urban,9922,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 58.6          ,58.6,36.01832418,-86.62490517,Level 2,Level 2,Level 2,58.3,0.13,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9065,3,12339,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 202.2",2021-02-27,7:12:10 AM,61,2,59,0,Urban,9924,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 202.2          ,202.2,36.14204485,-86.88467279,Level 3,Level 2,Level 2,58.4,0.02,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9066,3,12341,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 86.4",2021-02-27,8:00:38 AM,38.83333333,2,36.13333333,-7.333333333,Urban,9925,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 86.4          ,86.4,36.21339639,-86.77547613,Level 3,Level 2,Level 2,58.3,0.05,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9079,3,12363,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 38.8",2021-02-27,11:13:39 AM,43,1,0,0,Urban,9938,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 38.8          ,38.8,36.29906708,-86.81175475,Level 2,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9081,3,12366,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 36.6",2021-02-27,11:44:13 AM,184,1,3,0,Urban,9940,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 36.6          ,36.6,36.31886189,-86.84116449,Level 2,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9087,3,12374,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Beyond MILE MARKER 220.2",2021-02-27,12:33:51 PM,110,0,0,-6,Urban,9946,DAVIDSON,I-40W,I-40,Westbound,Beyond,MILE MARKER 220.2          ,220.2,36.1663128,-86.61221879,Level 1,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9088,3,12377,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 36.2",2021-02-27,12:39:20 PM,4,0,0,2,Urban,9947,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 36.2          ,36.2,36.318692,-86.845926,Level 1,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9091,3,12380,MultiVehicle Crash,"SUMNER on Interstate 65 Northbound, Before MILE MARKER 98",2021-02-27,12:46:47 PM,46.48333333,1,22,-15.36666667,Urban,9950,SUMNER,I-65N,I-65,Northbound,Before,MILE MARKER 98          ,98.0,36.33837421,-86.71222841,Level 2,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9092,3,12381,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 97.6",2021-02-27,12:46:49 PM,9.75,0,0,0,Urban,9951,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 97.6          ,97.6,36.333412,-86.709761,Level 1,Level 1,Level 1,54.6,0.01,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9117,3,12411,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 48.2",2021-02-27,4:31:47 PM,23,1,22,0,Urban,9978,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 48.2          ,48.2,36.13767941,-86.72683064,Level 2,Level 1,Level 1,56.9,0.0,Clear,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9121,3,12418,MultiVehicle Crash,"SUMNER on Interstate 65 Northbound, Beyond MILE MARKER 99",2021-02-27,5:35:38 PM,53.03333333,1,31.66666667,3.8,Urban,9983,SUMNER,I-65N,I-65,Northbound,Beyond,MILE MARKER 99          ,99.0,36.35033701,-86.71815728,Level 2,Level 2,Level 2,57.0,0.0,Clear,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9125,3,12422,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 59",2021-02-27,6:32:24 PM,11,0,0,8,Urban,9987,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 59          ,59.0,36.01428939,-86.6206324,Level 1,Level 1,Level 1,56.4,0.0,Clear,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9130,3,12430,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 215.2",2021-02-27,7:12:15 PM,53,1,13,6,Urban,9993,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 215.2          ,215.2,36.14395407,-86.69120692,Level 2,Level 1,Level 1,56.3,0.23,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9138,3,12438,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 52",2021-02-27,7:40:49 PM,748,0,0,1,Urban,10001,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 52          ,52.0,36.09009377,-86.70322845,Level 1,Level 1,Level 1,56.3,0.23,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9144,3,12444,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 213.2",2021-02-27,8:57:29 PM,4,0,0,0,Urban,10007,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 213.2          ,213.2,36.14037728,-86.72393628,Level 1,Level 1,Level 1,57.0,0.16,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9146,3,12446,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 52.8",2021-02-27,9:36:08 PM,69,1,40,0,Urban,10009,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 52.8          ,52.8,36.07752213,-86.69480981,Level 2,Level 2,Level 2,57.2,0.3,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9147,3,12447,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, At MILE MARKER 51.8",2021-02-27,9:44:05 PM,43,1,43,5,Urban,10010,DAVIDSON,I-24W,I-24,Westbound,At,MILE MARKER 51.8          ,51.8,36.09249203,-86.70517325,Level 2,Level 2,Level 2,57.2,0.3,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9149,3,12449,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 85.8",2021-02-27,10:21:44 PM,161.35,2,148.9666667,0,Urban,10012,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 85.8          ,85.8,36.20522812,-86.77652759,Level 3,Level 3,Level 3,58.3,0.09,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9151,3,12451,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, At MILE MARKER 207.8",2021-02-27,11:32:26 PM,638,0,0,2,Urban,10014,DAVIDSON,I-40W,I-40,Westbound,At,MILE MARKER 207.8          ,207.8,36.17149709,-86.79900349,Level 1,Level 1,Level 1,58.4,0.16,Rain,nashville tennessee,2021-02-27,59.6,54.6,56.8,59.6,54.6,56.8,54.5,92.14,1.67,83.33,0.0,0.0,25.3,11.4,141.1,1017.5,97.1,6.4,2021-02-27T06:19:35,2021-02-27T17:40:26,0.5,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9152,3,12453,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Beyond MILE MARKER 208.8",2021-02-28,1:14:41 AM,42,0,37,0,Urban,10015,DAVIDSON,I-40W,I-40,Westbound,Beyond,MILE MARKER 208.8          ,208.8,36.15953981,-86.79227042,Level 1,Level 2,Level 1,57.6,0.05,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9154,3,12455,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 52",2021-02-28,4:33:52 AM,27,0,0,3,Urban,10017,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 52          ,52.0,36.09009377,-86.70322845,Level 1,Level 1,Level 1,65.9,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9155,3,12456,MultiVehicle Crash,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 52.6",2021-02-28,4:38:38 AM,30,2,29,0,Urban,10018,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 52.6          ,52.6,36.08258158,-86.69790744,Level 3,Level 1,Level 1,65.9,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9157,3,12458,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 211",2021-02-28,5:16:58 AM,46,3,46,1,Urban,10020,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 211          ,211.0,36.15439156,-86.76077874,Level 3,Level 2,Level 2,66.5,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9158,3,12459,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 87",2021-02-28,6:14:59 AM,614.5833333,0,0,-16.41666667,Urban,10021,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 87          ,87.0,36.22194614,-86.77444746,Level 1,Level 1,Level 1,66.5,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9185,3,12493,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 87.2",2021-02-28,11:42:05 AM,108.55,0,99.9,0.016666667,Urban,10049,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 87.2          ,87.2,36.205236,-86.776526,Level 1,Level 3,Level 1,68.9,0.02,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9202,3,12514,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 206.2",2021-02-28,2:03:56 PM,20,1,19,1,Urban,10067,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 206.2          ,206.2,36.16139942,-86.8207334,Level 2,Level 1,Level 1,73.1,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9204,3,12518,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 88.4",2021-02-28,2:58:34 PM,18.51666667,0,0,0.016666667,Urban,10071,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 88.4          ,88.4,36.23708595,-86.75978437,Level 1,Level 1,Level 1,73.1,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9209,3,12523,MultiVehicle Crash,"DAVIDSON on Interstate 65 Southbound, At EXIT 81: WEDGEWOOD AVE.",2021-02-28,3:42:04 PM,26.1,0,0,-0.133333333,Urban,10076,DAVIDSON,I-65S,I-65,Southbound,At,EXIT 81 WEDGEWOOD AVE.         ,81.0,36.1259136,-86.77261403,Level 1,Level 1,Level 1,73.7,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9214,3,12528,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 196.6",2021-02-28,4:04:38 PM,41,0,0,0,Urban,10081,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 196.6          ,196.6,36.08362066,-86.95146009,Level 1,Level 1,Level 1,73.6,0.01,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9237,3,12559,MultiVehicle Crash,"MONTGOMERY on Interstate 24 Westbound, Beyond MILE MARKER 1",2021-02-28,8:09:35 PM,192,2,160,0,Urban,10111,MONTGOMERY,I-24W,I-24,Westbound,Beyond,MILE MARKER 1          ,1.0,36.63386404,-87.32528252,Level 3,Level 3,Level 3,67.3,0.02,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9238,3,12561,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 212.2",2021-02-28,8:52:57 PM,46,2,46,3,Urban,10113,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 212.2          ,212.2,36.146731,-86.743015,Level 3,Level 2,Level 2,67.3,0.02,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
9244,3,12570,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 85.8",2021-02-28,10:10:22 PM,151.85,1,92.08333333,28.23333333,Urban,10120,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 85.8          ,85.8,36.20522812,-86.77652759,Level 2,Level 3,Level 3,58.9,0.16,Rain,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
